"ID","NLCDDecid","NLCDMixed","NLCDConif","NLCDWwet","X","Y"
1,0,0.000907243431558,0.03295108143417,0.000254028160836,462509.506355758,731713.434460523
2,0,0.018469085924536,0.068212971647067,0.000468941634803,467509.506355745,731713.434460523
3,0.001118245436837,0.006456965586898,0.023411009306688,0.001875766539211,472509.506355732,731713.434460523
4,0,0.004608796632312,0.028959210335317,0.004173319785165,477509.506355719,731713.434460523
5,0.10327537695693,0.394596349469735,0.186927350119039,0.005374792583508,487509.506355694,731713.434460523
6,0.00039679676791,0.022292763869851,0.044152658538345,0.014032176610634,447509.506355796,726713.434460536
7,0,0,0.004697192441464,0,452509.506355783,726713.434460536
8,0.045667700743092,0.06828511651396,0.156085419522401,0.001118245436837,462509.506355758,726713.434460536
9,0.008354548388253,0.118971637563197,0.114059306536627,0,467509.506355745,726713.434460536
10,0.002187242281903,0.022051704973287,0.113270465057908,0.00039442073936,472509.506355732,726713.434460536
11,0.000865738402713,0.082389437991487,0.115179279994228,0,477509.506355719,726713.434460536
12,0,0,0.001577682957438,0,482509.506355707,726713.434460536
13,0.20986768977016,0.225321811466887,0.045143246441249,0.02588834307433,487509.506355694,726713.434460536
14,0.004472981747349,0.071531635524132,0.257593247240459,0.039535387057211,447509.506355796,721713.434460549
15,0.017103517515866,0.089963785004841,0.096668937573954,0.004266915271254,452509.506355783,721713.434460549
16,0.034960020079601,0.049661156728459,0.069955896590053,0.000752985047868,457509.506355771,721713.434460549
17,0.090072866315562,0.072830243128201,0.015835798282952,0.00198398383955,462509.506355758,721713.434460549
18,0.05543404209545,0.085338305425078,0.038151242425329,0.000968123632974,467509.506355745,721713.434460549
19,0.027286743877514,0.100111154935638,0.03162537201047,0,472509.506355732,721713.434460549
20,0.060818122790563,0.173977346511796,0.078457542745834,0.02507034124522,477509.506355719,721713.434460549
21,0.009573667037183,0.046111370074223,0.03123095127111,0,482509.506355707,721713.434460549
22,0.208859389654426,0.02665752831686,0.008801673760912,0,442509.506355809,716713.434460562
23,0.384090579184207,0.204637828422122,0.09315575555233,0.064704601538685,447509.506355796,716713.434460562
24,0.538561431354159,0.209292258855782,0.098658105475795,0.024493182310079,452509.506355783,716713.434460562
25,0.463566842219176,0.227941706947551,0.060132746555083,0.03141908953178,457509.506355771,716713.434460562
26,0.203912033676876,0.126215706198287,0.040281608361155,0.001306430541443,462509.506355758,716713.434460562
27,0.147608397662506,0.114710338359426,0.011867830603853,0,467509.506355745,716713.434460562
28,0.277721665103528,0.260839766250631,0.05767982108073,0.000901810836159,472509.506355732,716713.434460562
29,0.235919581942227,0.095006532152707,0.05454347510524,0.057228915662651,477509.506355719,716713.434460562
30,0.08458532037721,0.034637312201943,0.020976012047761,0.021334576356269,427509.506355848,711713.434460575
31,0.045054469374504,0.052449318231008,0.0054469374504,0.027378976985787,432509.506355835,711713.434460575
32,0.17125031374377,0.128401878876977,0.060274660260318,0.03327476782961,437509.506355822,711713.434460575
33,0.709311915091972,0.071999713148553,0.046469934382732,0.028362436803041,442509.506355809,711713.434460575
34,0.757304667772888,0.119544044441238,0.055118678306039,0.021535242767477,447509.506355796,711713.434460575
35,0.687260210118685,0.070135178744308,0.021979992111585,0.048370325217828,452509.506355783,711713.434460575
36,0.553049589443867,0.213453332855248,0.071103302377281,0.027358456739216,457509.506355771,711713.434460575
37,0.2016809753986,0.154101435682851,0.051763941995527,0.002308635740567,462509.506355758,711713.434460575
38,0.043242855606153,0.042489870558285,0.036394277313636,0,467509.506355745,711713.434460575
39,0.151098999605579,0.042238875542329,0.026067625228585,0.002689232313815,472509.506355732,711713.434460575
40,0,0.002633287641584,0,0.001695404371979,477509.506355719,711713.434460575
41,0.002079672989351,0.059593388074151,0.127899888845064,0.015956111728639,482509.506355707,711713.434460575
42,0,0.002258955143605,0.017103517515866,0.004482053856359,487509.506355694,711713.434460575
43,0.122862708318303,0.06669792944232,0.005302647716615,0.004472981747349,417509.506355873,706713.434460587
