"Year","Ndays","Ndets","ID","CamNum_Redux"
2016,36,1,569,192
2017,121,0,569,192
2018,121,5,569,192
2018,103,0,4002,193
2018,74,4,1668,194
2018,115,0,5313,195
2018,114,0,5368,196
2016,17,0,5313,197
2018,121,1,3578,198
2015,70,2,82,199
2015,69,10,107,200
2015,70,0,82,201
2016,111,4,891,202
2017,121,0,891,203
2018,75,0,891,203
2015,69,1,107,204
2017,82,0,5149,205
2016,112,15,1117,206
2017,115,3,3351,207
2017,116,0,3792,208
2018,34,0,3792,208
2017,121,0,3504,209
2015,69,1,107,210
2015,69,3,82,211
2015,69,7,107,212
2015,69,0,82,213
2015,69,4,130,214
2015,69,4,107,215
2017,121,16,818,216
2018,121,9,818,216
2018,121,0,5203,217
2018,53,0,5751,218
2017,13,0,3792,219
2018,121,3,471,220
2018,121,0,4823,221
2015,69,2,108,222
2015,69,3,108,223
2015,69,1,131,224
2015,69,0,108,225
2015,70,0,83,226
2015,70,2,83,227
2015,70,1,83,228
2018,121,0,5098,229
2017,121,0,4597,230
2018,117,0,4597,230
2017,34,0,4068,231
2017,43,1,519,232
2018,121,2,519,232
2017,121,8,3651,233
2018,101,3,3651,233
2017,97,0,4711,234
2015,66,17,472,235
2016,23,5,472,235
2017,91,18,472,235
2018,56,2,472,235
2017,8,1,1514,236
2018,114,3,1514,236
2016,77,0,570,237
2018,121,0,570,237
2017,107,3,3505,238
2018,121,1,3505,238
2015,81,0,570,239
2016,121,2,570,239
2017,121,6,570,239
2015,1,0,570,240
2016,121,0,570,240
2017,121,1,570,240
2018,121,1,570,240
2016,36,0,819,241
2017,49,0,4068,242
2018,121,1,4068,242
2017,121,3,819,243
2017,82,2,3722,244
2018,84,1,3722,244
2015,36,0,472,245
2016,76,1,472,245
2017,32,0,472,245
2018,121,3,472,245
2015,81,0,519,246
2016,16,0,519,246
2017,68,0,519,246
2018,121,0,519,246
2017,40,3,3722,247
2018,38,0,3722,247
2018,110,10,1436,248
2016,5,0,570,249
2017,42,0,570,249
2018,121,2,570,249
2015,80,1,570,250
2016,27,0,570,250
2015,81,1,519,251
2016,121,2,519,251
2017,121,1,519,251
2018,121,4,519,251
2018,85,1,819,252
2018,121,1,156,253
2017,97,0,4711,254
2018,28,0,4711,255
2015,36,1,472,256
2016,121,2,472,256
2017,91,2,472,256
2018,121,4,472,256
2016,64,1,570,257
2017,101,0,570,257
2017,53,1,1436,258
2016,119,16,966,259
2017,121,8,966,259
2018,121,12,966,259
2018,113,3,131,260
2015,14,0,570,261
2015,81,4,519,262
2017,76,0,570,263
2018,82,1,570,263
2015,75,0,519,264
2016,9,0,519,264
2017,121,1,519,264
2018,121,0,519,264
2018,104,0,5424,265
2015,75,1,519,266
2018,25,0,519,266
2015,81,6,570,267
2016,47,0,570,267
2017,37,1,570,267
2018,82,8,570,267
2016,31,0,472,268
2016,81,1,966,269
2017,121,7,966,269
2018,102,7,966,269
2017,121,1,472,270
2018,121,3,472,270
2015,1,0,570,271
2018,110,0,353,272
2018,113,1,108,273
2017,16,0,519,274
2018,17,0,519,274
2018,27,0,284,275
2016,121,3,519,276
2015,3,0,519,277
2016,37,0,519,277
2017,121,1,519,277
2015,1,0,519,278
2016,39,0,519,278
2018,121,0,108,279
2015,75,1,519,280
2016,67,1,519,280
2016,95,1,519,281
2015,75,0,570,282
2016,28,0,570,282
2017,105,3,570,282
2018,74,1,570,282
2016,92,4,472,283
2017,121,0,472,283
2015,75,3,570,284
2016,95,2,570,284
2017,12,0,570,284
2018,121,1,570,284
2015,1,0,519,285
2016,121,1,519,285
2015,68,0,472,286
2016,53,0,472,286
2017,91,2,472,286
2018,106,0,472,286
2015,82,0,472,287
2016,30,0,472,288
2018,121,1,3651,289
2015,75,5,571,290
2016,28,2,571,290
2017,19,2,571,290
2018,121,10,571,290
2018,121,16,157,291
2015,59,3,571,292
2016,91,5,571,293
2017,121,2,571,293
2018,10,0,571,293
2015,75,1,571,294
2015,25,1,571,295
2016,1,0,571,295
2015,57,3,520,296
2016,28,0,520,296
2017,121,5,520,296
2018,102,1,520,296
2016,55,0,571,297
2015,82,2,473,298
2016,8,0,473,298
2017,121,7,473,298
2018,21,4,473,298
2015,82,1,520,299
2016,41,3,520,299
2017,84,0,520,299
2018,102,1,520,299
2015,82,3,571,300
2017,43,2,571,300
2018,121,1,571,300
2016,41,3,520,301
2017,48,0,520,301
2015,75,3,571,302
2016,55,1,571,302
2017,31,0,571,302
2018,113,14,571,302
2015,1,0,520,303
2016,55,0,520,303
2017,121,0,4598,304
2018,32,0,4598,304
2016,92,0,473,305
2017,30,0,473,305
2015,82,5,520,306
2016,97,2,520,306
2017,5,0,4881,307
2015,82,1,520,308
2016,121,0,520,308
2017,85,0,520,308
2015,82,1,473,309
2017,37,0,520,310
2017,121,4,3353,311
2018,121,1,3353,311
2017,32,0,4881,312
2018,4,0,4881,312
2016,26,0,186,313
2017,121,0,186,313
2015,82,0,520,314
2016,30,1,520,314
2016,92,1,520,315
2017,84,0,520,315
2018,39,0,520,315
2017,17,0,520,316
2015,1,0,520,317
2016,48,2,520,317
2017,1,0,473,318
2018,86,2,473,318
2016,13,0,520,319
2015,82,1,520,320
2016,1,0,520,321
2015,67,0,571,322
2015,82,3,520,323
2017,117,0,4712,324
2018,73,0,4712,324
2016,68,0,571,325
2017,121,2,571,325
2018,121,3,571,325
2016,91,2,571,326
2015,81,0,520,327
2016,76,0,520,327
2015,28,0,571,328
2016,54,3,571,329
2017,121,7,571,329
